"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Wheat","Rajula ,Gujarat","PISSI","2.4 Tonnes","1640.00","1525.00 / 1755.00"
"Tomato","Teliamura ,Tripura","Hybrid","0.5 Tonnes","2800.00","2500.00 / 3000.00"
"Potato","Vilthararoad ,Uttar Pradesh","Desi","15 Tonnes","1000.00","950.00 / 1100.00"
"Onion","Jhansi ,Uttar Pradesh","Red","22.5 Tonnes","2000.00","1950.00 / 2100.00"
"Potato","Choubepur ,Uttar Pradesh","Desi","123 Tonnes","680.00","630.00 / 740.00"
"Drumstick","Perambra ,Kerala","Other","0.01 Tonnes","12500.00","12300.00 / 12500.00"
"Bajra","Gangapurcity(Old Lal mandi) ,Rajasthan","Other","11.1 Tonnes","1146.00","1129.00 / 1163.00"
"Coconut","Madathukulam ,Tamil Nadu","Coconut","15.3 Tonnes","3500.00","3400.00 / 3600.00"
"Brinjal","Bhanjanagar ,Odisha","Other","0.1 Tonnes","2200.00","2000.00 / 2400.00"
"Pumpkins","Tikonia ,Uttar Pradesh","Pumpkin","0.5 Tonnes","1160.00","1140.00 / 1170.00"
"Guava","Barnala ,Punjab","Other","0.54 Tonnes","5000.00","4000.00 / 6000.00"
"Copra","Kangeyam ,Tamil Nadu","Copra","63.8 Tonnes","12700.00","12000.00 / 13500.00"
"Cauliflower","Ahmedgarh ,Punjab","Other","0.2 Tonnes","700.00","600.00 / 800.00"
"Carrot","Nahan ,Himachal Pradesh","Other","0.41 Tonnes","1100.00","1000.00 / 1200.00"
"Capsicum","Chengannur ,Kerala","Other","0.6 Tonnes","6000.00","5600.00 / 6200.00"
"Mustard Oil","Choubepur ,Uttar Pradesh","Mustard Oil","1.3 Tonnes","11300.00","11250.00 / 11350.00"
"Cucumber","Ramanagara ,Karnataka","Cucumbar","4 Tonnes","1100.00","1000.00 / 1200.00"
"Pumpkins","Safdarganj ,Uttar Pradesh","Pumpkin","0.7 Tonnes","1150.00","1109.00 / 1200.00"
"Pumpkins","Harippad ,Kerala","Other","0.57 Tonnes","1000.00","1000.00 / 1500.00"
"Chana","Gangapur City ,Rajasthan","Other","1.9 Tonnes","4213.00","4100.00 / 4325.00"
"Pumpkins","Mawana ,Uttar Pradesh","Pumpkin","0.2 Tonnes","1060.00","1020.00 / 1150.00"
"Bitter Gourd","Hindol ,Odisha","Bitter Gourd","0.5 Tonnes","3800.00","3500.00 / 4000.00"
"Maize","Choubepur ,Uttar Pradesh","Yellow","29.8 Tonnes","1340.00","1280.00 / 1400.00"
"Cauliflower","Padra ,Gujarat","Other","1.4 Tonnes","1650.00","1500.00 / 1800.00"
